name,type,rarity,weapon_type,base_damage,base_defense,effects,value,image_url
"Iron Sword","Weapon","Common","Slashing",5,,"{{""stat_boosts"":{{""strength"":1}}}}",10,"sword"
"Dagger","Weapon","Common","Piercing",4,,"{{""stat_boosts"":{{""agility"":1}}}}",12,"stiletto"
"Short Bow","Weapon","Common","Piercing",5,,"{{""stat_boosts"":{{""agility"":1}}}}",15,"short_bow"
"Steel Longsword","Weapon","Common","Slashing",8,,"{{""stat_boosts"":{{""strength"":1}}}}",20,"sword"
"Iron Mace","Weapon","Common","Blunt",7,,null,18,"mace"
"Hunter's Bow","Weapon","Common","Piercing",6,,"{{""stat_boosts"":{{""agility"":1}}}}",15,"short_bow"
"Apprentice Wand","Weapon","Common","Magic",5,,"{{""stat_boosts"":{{""intelligence"":1}}}}",25,"wand"
"Leather Cap","Helmet","Common",,2,,"{{""stat_boosts"":{{""agility"":1}}}}",10,"leather_cap"
"Iron Helmet","Helmet","Common",,4,,null,20,"helmet"
"Wizard's Hat","Helmet","Uncommon",,1,,"{{""stat_boosts"":{{""intelligence"":3}}}}",35,"wizard_hat"
"Leather Armor","Armor","Common",,5,,"{{""stat_boosts"":{{""agility"":1}}}}",25,"leather"
"Chain Mail","Armor","Common",,8,,"{{""stat_boosts"":{{""strength"":1}}}}",40,"chainmail"
"Mage Robes","Armor","Uncommon",,3,,"{{""stat_boosts"":{{""intelligence"":3,""energy"":10}}}}",45,"mage_robe"
"Lucky Coin","Trinket","Uncommon",,,"{{""stat_boosts"":{{""luck"":3}}}}",30,"coin"
"Warrior's Pendant","Trinket","Uncommon",,,"{{""stat_boosts"":{{""strength"":2,""hitpoints"":10}}}}",35,"warrior_pendant"
"Thief's Charm","Trinket","Uncommon",,,"{{""stat_boosts"":{{""agility"":2,""luck"":2}}}}",40,"amethyst"
"Enchanted Amulet","Trinket","Rare",,,"{{""stat_boosts"":{{""intelligence"":3,""energy"":15}},""elemental"":{{""type"":""Fire"",""damage"":5}}}}",75,"emerald_amulet"
"Flaming Sword","Weapon","Rare","Slashing",14,,"{{""elemental"":{{""type"":""Fire"",""damage"":5}},""stat_boosts"":{{""strength"":3}}}}",120,"fire_sword"
"Frost Staff","Weapon","Rare","Magic",13,,"{{""elemental"":{{""type"":""Ice"",""damage"":6}},""stat_boosts"":{{""intelligence"":4}}}}",130,"frost_staff"
"Shadow Dagger","Weapon","Rare","Piercing",12,,"{{""critical_hit"":{{""chance"":15,""multiplier"":2.0}},""stat_boosts"":{{""agility"":4,""luck"":2}}}}",110,"shadow_dagger"
"Plate Armor","Armor","Rare",,15,,"{{""stat_boosts"":{{""strength"":2,""hitpoints"":20}}}}",150,"platemail"
"Enchanted Helmet","Helmet","Rare",,8,,"{{""stat_boosts"":{{""intelligence"":2,""energy"":10}}}}",100,"helmet"
"Dragon Slayer","Weapon","Epic","Slashing",22,,"{{""boss_damage_multiplier"":1.5,""elemental"":{{""type"":""Fire"",""damage"":8}},""stat_boosts"":{{""strength"":6,""hitpoints"":15}},""special"":{{""type"":""DragonHunter"",""description"":""Deals 50% more damage to dragon-type enemies""}}}}",300,"great_sword"
"Archmage Staff","Weapon","Epic","Magic",20,,"{{""elemental"":{{""type"":""Lightning"",""damage"":10}},""stat_boosts"":{{""intelligence"":8,""energy"":25}},""special"":{{""type"":""ManaEfficiency"",""description"":""Reduces energy cost of spells by 15%""}}}}",320,"staff"
"Amulet of Second Chances","Trinket","Epic",,,"{{""special"":{{""type"":""Retry"",""description"":""Allows retrying one adventure outcome per day""}},""stat_boosts"":{{""luck"":5}}}}",500,"amulet"
"Legendary Blade of Heroes","Weapon","Legendary","Slashing",30,,"{{""elemental"":{{""type"":""Light"",""damage"":15}},""boss_damage_multiplier"":2.0,""stat_boosts"":{{""strength"":10,""agility"":6,""luck"":6,""hitpoints"":30}},""special"":{{""type"":""HeroicStrike"",""description"":""10% chance to deal triple damage on attack""}}}}",1000,"great_sword"
"Ancient Wizard's Grimoire","Weapon","Legendary","Magic",28,,"{{""elemental"":{{""type"":""Arcane"",""damage"":18}},""stat_boosts"":{{""intelligence"":12,""energy"":60}},""special"":{{""type"":""SpellMastery"",""description"":""Spells have a 15% chance to cost no energy and 8% chance to cast twice""}}}}",1200,"grimoire"
