id,name,type,rarity,weapon_type,base_damage,base_defense,effects,value,image_url
101,"Crystal Shard Dagger","Weapon","Uncommon","Piercing",10,,"{{""stat_boosts"":{{""agility"":2,""luck"":1}}}}",80,"crystal_dagger"
102,"Luminous Fungus Staff","Weapon","Uncommon","Magic",9,,"{{""stat_boosts"":{{""intelligence"":3,""wisdom"":1}},""special"":{{""type"":""Illumination"",""description"":""Emits light in dark places, revealing hidden enemies""}}}}",85,"fungus_staff"
103,"Stone Crusher","Weapon","Uncommon","Blunt",12,,"{{""stat_boosts"":{{""strength"":3}},""special"":{{""type"":""ArmorBreak"",""description"":""Has a 15% chance to ignore enemy defense""}}}}",90,"stone_crusher"
104,"Geomancer's Wand","Weapon","Rare","Magic",14,,"{{""stat_boosts"":{{""intelligence"":4,""wisdom"":2}},""elemental"":{{""type"":""Earth"",""damage"":6}}}}",150,"geomancer_wand"
105,"Crystalline Armor","Armor","Rare",,12,,"{{""stat_boosts"":{{""defense"":3,""intelligence"":2}},""special"":{{""type"":""ElementalResistance"",""description"":""Reduces elemental damage by 10%""}}}}",180,"crystal_armor"
106,"Kobold Mining Helmet","Helmet","Rare",,10,,"{{""stat_boosts"":{{""strength"":2,""wisdom"":3}},""special"":{{""type"":""Illumination"",""description"":""Emits light in dark places, revealing hidden treasures""}}}}",160,"mining_helmet"
107,"Gemstone Focus","Trinket","Rare",,,"{{""stat_boosts"":{{""intelligence"":5,""energy"":25}},""special"":{{""type"":""ManaEfficiency"",""description"":""Reduces energy cost of spells by 10%""}}}}",200,"gemstone_focus"
108,"Prismatic Crystal","Trinket","Epic",,,"{{""stat_boosts"":{{""all"":2}},""elemental"":{{""type"":""Random"",""damage"":8,""description"":""Randomly adds fire, ice, or lightning damage to attacks""}}}}",350,"prismatic_crystal"
109,"Heart of Crystallos","Weapon","Epic","Magic",24,,"{{""stat_boosts"":{{""intelligence"":6,""wisdom"":4,""energy"":30}},""elemental"":{{""type"":""Crystal"",""damage"":12}},""special"":{{""type"":""CrystalReflection"",""description"":""15% chance to reflect spells back at the caster""}}}}",450,"crystal_heart"
110,"Bat Wing Cloak","Armor","Uncommon",,8,,"{{""stat_boosts"":{{""agility"":3,""dodge_chance"":5}}}}",95,"bat_cloak"
111,"Cave Mushroom Potion","Consumable","Common",,,"{{""restore"":{{""health"":40,""energy"":40}}}}",40,"mushroom_potion"
112,"Mineral Water Vial","Consumable","Uncommon",,,"{{""stat_boost_temporary"":{{""strength"":5,""duration"":""1 hour""}}}}",60,"mineral_water"
113,"Bioluminescent Extract","Consumable","Uncommon",,,"{{""stat_boost_temporary"":{{""intelligence"":5,""duration"":""1 hour""}}}}",65,"glowing_extract"
114,"Rockjaw Gauntlets","Armor","Rare",,6,,"{{""stat_boosts"":{{""strength"":4,""attack"":3}}}}",140,"stone_gauntlets"
115,"Echo Charm","Trinket","Uncommon",,,"{{""stat_boosts"":{{""dodge_chance"":8,""agility"":2}},""special"":{{""type"":""EchoLocation"",""description"":""Warns of approaching enemies, reducing ambush chance""}}}}",110,"echo_charm"
